歌曲ID,歌曲名称,歌手,抓取时间,评论总数,积极评论数,消极评论数,中立评论数,积极评论占比,消极评论占比,中立评论占比,高频字眼,最高点赞量,平均点赞量,Top1评论预览,Top1点赞数
3312738881,BLACKBIRRRD,GALI,2025-11-23 16:43:12,40,19,11,10,0.475,0.275,0.25,一起，三根，点燃，gali，无敌,5254,347.6,宣传是最少的，单曲是高产的，质量是最高的，feat是秒杀的，市场反馈是最好的，所以无须多言…此男已无...,5254
3318010850,亮剑,盛宇D-SHINE/功夫胖KungFuPen,2025-11-23 16:43:22,40,22,8,10,0.55,0.2,0.25,哥们，好听，今天，真的，感觉,1604,156.4,纯假想敌说唱 2025了 谁还听这老boombap呢...,1604
2744694487,下一页,梓渝,2025-11-23 16:45:34,1015,594,224,197,0.5852,0.2207,0.1941,一页，一起，旋律，陪伴，温柔,38329,384.9,🔮这一寸偏爱，不算盛大，却像星光落进心河，慢慢聚成温暖的海，随歌声清晰的是藏于音符的感谢💝，一起听，...,38329
2757295447,You'll Always Be Mine,Anson Seabra,2025-11-23 16:45:45,37,28,6,3,0.7568,0.1622,0.0811,是否，永远，流泪，care，像是,131,11.9,我深以为然 Anson的声音 是一份独属于秋冬的织物 窝在沙发里捧着的热红茶 壁炉里将熄未熄的木柴 ...,131
3317989736,这样一来我算什么 (Live),薛之谦/陈卓璇,2025-11-23 16:46:15,231,132,34,65,0.5714,0.1472,0.2814,薛之谦，好听，心动，万兽之王，投票,1259,20.1,感谢音乐缘计划让我一个月听到了4首新歌...,1259
3312198109,想念你的日子,郑润泽,2025-11-23 16:46:30,78,63,5,10,0.8077,0.0641,0.1282,润泽，想念，难过，幸福，豆豆,4491,149.3,我有预感这首歌会大爆[难过][难过][难过]...,4491
3318924230,尘间雪,世界之外,2025-11-23 16:46:40,40,37,1,2,0.925,0.025,0.05,生日快乐，顾时夜，四哥，真的，没有,2334,231.6,不知道是不是巧合，生日线下的武汉下了第一场雪，对于没有遇见过顾时夜的人来说，世界之外和世界之内的雪泾...,2334
3316254372,Losin' Streak,Hazbin Hotel/Blake Roman/Sam Haft/Andrew Underberg,2025-11-23 16:46:51,40,23,9,8,0.575,0.225,0.2,剧情，豪庭，毛竹，真的，好听,2480,326.1,耳朵要融化了，看完疯狗剧情真得多听这首几遍治愈一下...,2480
3319758074,南音 (Soulboy 20th Anniversary Edition),HOPICO/裘德/DEN/关浩德Walter/Matt吕彦良,2025-11-23 16:47:01,40,28,2,10,0.7,0.05,0.25,大同，音乐，喜欢，南音，哭哭,1024,73.4,被大同喜欢的音乐人聚在一起唱大同的歌。最后一句他才不管红与不红就是这位纯粹的音乐人一生的写照。[哭哭...,1024
2759266913,簪花雨（Flower hairpin）,陈抒妮,2025-11-23 16:47:11,40,28,8,4,0.7,0.2,0.1,外婆，感觉，天上，上学，看到,1195,69.0,这是我写给天上外婆的曲子，我从小就觉得我的隔辈缘很浅，但唯独外婆她依然会因为想和我睡一起还给我零花买...,1195
3320330744,爱就一个字 (live),张信哲/庾澄庆/苏有朋/黄丽玲/黄龄/林宥嘉/李佳薇/汪苏泷/颜人中/周兴哲/王赫野/黄霄雲/何炅/李莎旻子/全体观众,2025-11-23 16:47:22,40,31,6,3,0.775,0.15,0.075,汪苏，好听，心动，颜人，啊啊啊,85,13.2,两个人相互辉映 光芒胜过夜晚繁星。 汪苏泷好听！！！我哥权威这一块！...,85
3315209589,街头流行,艾洛樱Aluvin/Top Barry,2025-11-23 16:47:32,40,20,10,10,0.5,0.25,0.25,没有，兄弟，因为，barry，一直,1575,109.8,可能我一个人的verse不能更好的帮助我觉得走得起的兄弟 所以我让这张专辑的出品是indecompa...,1575
3312354474,Sleeping City Funk,DJ RAULIPUES/DJ FANGZ/TrongKien,2025-11-23 16:47:41,40,28,4,8,0.7,0.1,0.2,不要，变成，vip，妈妈，没有,686,68.2,“我亲手杀死了我的父亲，一个成年的维特鲁姆星人，你以为这样能阻止我吗”...,686
3315963772,没人管的小孩,天舒,2025-11-23 16:47:49,36,17,7,12,0.4722,0.1944,0.3333,天舒，这种，不是，自己，因为,641,29.0,从天舒那里来的举手！！！！！！...,641
3320401915,爱丽丝卿 (Live),谭晶/黄誉博,2025-11-23 16:48:00,31,18,6,7,0.5806,0.1935,0.2258,黄誉，黄誉博，好听，博唱，门尼,26,3.3,门尼写得太好啦！！！！这词太棒啦！！尼尼！...,26
3316256038,Easy,Hazbin Hotel/Stephanie Beatriz/Erika Henningsen/Sam Haft/Andrew Underberg,2025-11-23 16:48:09,40,25,10,5,0.625,0.25,0.125,拉拉，真的，维姬，剧情，好听,2355,250.2,这首真的很好听。哪怕剧情再烂也会打开原剧反复观赏。...,2355
