s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
8535,福茂唱片回归云村 | 韦礼安热门精选,2022-04-08,109076,778,29,82,49,nan nan nan
8536,嗨唱转起来 | 综艺音频全收录,2021-11-05,27769,276,4,4,100,nan nan nan
8537,滚石唱片 | 那些年我们深夜听过的莫文蔚,2022-07-08,708736,2979,23,18,45,nan nan nan
8538,"时代峰峻 | 夏天到了,少年们回来了！",2022-06-07,1419845,31056,9741,2172,100,nan nan nan
8539,福茂唱片 | 经典偶像剧OST,2022-04-06,306829,2215,53,55,79,nan nan nan
8540,时代峰峻 | 时代少年团热门歌曲精选,2022-06-17,600749,13658,217,1060,39,nan nan nan
8541,"滚石唱片 | 关于""天王杀手""周华健的记忆",2022-07-08,248911,1608,15,2,59,nan nan nan
8542,"滚石唱片 | 年少不听李宗盛,听懂已是不惑年",2022-07-08,3028264,16929,141,28,100,nan nan nan
8543,滚石唱片 | 音乐中的人情冷暖和人生感悟,2022-07-11,590409,2114,22,6,34,nan nan nan
8544,滚石唱片 | 蓬勃的摇滚时代,2022-07-11,293671,1845,25,5,63,nan nan nan
8545,"许巍 | 只有音乐和爱,才能带来感动",2022-07-01,1075723,9205,180,327,100,nan nan nan
8546,风华秋实 | 华语乐坛的共振时刻,2021-11-29,1569207,3803,179,536,100,nan nan nan
8547,滚石唱片 | 老男孩张震岳的秘密基地,2022-07-08,788006,3343,54,45,60,nan nan nan
8548,黑豹乐队 | 致永不妥协的摇滚精神,2021-11-29,396394,1687,46,127,30,nan nan nan
8549,乐华娱乐 | NEXT热门歌曲精选,2021-12-30,59151,592,6,41,70,nan nan nan
8550,中国唱片 | 中华民族唱片的宝藏曲库,2021-11-09,371627,5468,186,219,89,nan nan nan
8551,声生不息宝岛季 | 你最想听谁带来宝藏金曲?,2023-03-14,504817,3027,36,77,45,nan nan nan
8552,我的音乐你听吗 | 有谱村的音乐故事,2021-09-03,3341422,39953,485,336,99,nan nan nan
8553,滚石唱片 | 青涩岁月里的五月天,2022-07-08,1580245,2985,42,9,49,nan nan nan
8554,草莓星球来的人 | 综艺音频全收录,2021-11-04,41524,392,6,6,96,nan nan nan
8555,时光音乐会 | 以音乐为桥,2021-11-04,301772,3288,33,69,96,nan nan nan
8556,中国说唱巅峰对决 | 强强对决 巅峰集结,2022-06-25,3030062,18266,350,102,100,nan nan nan
8557,中国新说唱 | 音频全收录,2021-11-05,253443,2858,23,15,100,nan nan nan
8558,时光音乐会 | 两季音频全收录,2023-02-28,1575462,15980,115,45,100,nan nan nan
8559,冷门推荐 | 随机好歌收入囊中,2023-05-06,6134063,16268,280,516,31,nan nan nan
8560,为歌而赞 | 乐无正解 百赞成歌,2022-04-08,124482,947,6,5,100,nan nan nan
8561,汪苏泷原创精选 | 走进实力唱作人音乐世界,2023-01-10,1042955,5089,57,920,57,nan nan nan
8562,"双笙 | 笙声不息,爱慕未停",2023-04-24,122836,695,25,142,20,nan nan nan
8563,蒙面歌王 | 用歌声俘获你的心,2022-08-03,1784073,8945,164,36,100,nan nan nan
8564,重温春晚金曲 | 寻找年夜饭桌上的音乐记忆,2023-01-18,413988,2371,46,74,45,nan nan nan
8565,我们民谣2022 | 用音乐治愈心灵,2022-12-23,1162394,13071,242,62,100,nan nan nan
8566,鱼丁糸 | 全宇宙的朋友大家好，我们回来了,2023-04-11,120005,3765,119,199,81,nan nan nan
8567,"经典摇滚 | 万能青年旅店,新裤子,张醒婵",2024-05-16,31860,122,11,3,3,nan nan nan
8568,梦想的声音 | 用歌声助力平凡梦想,2022-07-13,571849,5503,198,372,100,nan nan nan
8569,万人收藏 | 好歌挖掘机已上线,2023-05-06,2780450,7635,139,131,31,nan nan nan
8570,罗大佑宝藏曲库 | 我们会永远需要罗大佑,2022-08-23,429658,4718,49,53,37,nan nan nan
8571,"声生不息·宝岛季 | 有歌之年,歌自宝岛来",2023-03-16,1872751,19561,935,186,101,nan nan nan
8572,[拒绝瞌睡] 跟着节拍抖腿的嘻哈音乐,2019-03-04,12739314,71404,700,164,33,nan nan nan
8573,河南说唱精选,2024-10-10,28067,316,10,17,73,nan nan nan
8574,超高播放 | 超99%的人都在循环,2023-05-06,4955687,13070,169,312,31,nan nan nan
8575,成都说唱精选,2025-07-04,20982,345,24,9,136,nan nan nan
8576,2020年代至今华语原创专辑50佳 | 未来的经典,2024-12-03,160526,4044,112,238,50,nan nan nan
8577,李润祺 | Z世代全能音乐唱作人,2023-01-13,67291,700,95,682,19,nan nan nan
8578,拒绝EMO，听欢快的歌恢复元气吧！,2025-10-26,2338,8,2,1,92,华语 快乐 放松
8579,2025中文说唱半年榜 | 荣誉揭晓,2025-07-16,362806,4862,445,73,76,nan nan nan
8580,网易云音乐2025第三季度音乐榜单,2025-10-20,159187,993,58,349,50,华语 流行 说唱
8581,精选华语R&B｜刻在DNA里的熟悉旋律,2025-10-12,3228,169,2,4,66,R&B/Soul 华语 放松
8582,拾起一片落叶，就把秋捧在了手心,2025-10-15,19612,61,2,1,21,华语 流行 思念
8583,快乐100％｜活力满分 好运磁场活人感Max,2025-09-23,78912,230,9,4,45,华语 流行 快乐
8584,秋色向晚│霜降多添衣 愿一切顺心如意,2025-10-15,103297,179,10,9,35,华语 流行 治愈
8585,立冬快乐！被温柔的歌包裹 和世界软软贴贴,2025-11-04,251923,373,27,9,30,华语 流行 nan
8586,华语治愈｜慢慢来 随风所遇此生皆所愿,2025-10-29,9339,156,8,3,35,华语 流行 治愈
8587,「滚石撞乐队2」滚石金曲翻唱企划,2025-10-10,14488,326,63,8,26,华语 经典 翻唱
8588,情绪收音机 | 总有一段旋律与你同频,2025-10-31,248021,819,29,6,31,华语 流行 nan
8589,净化耳朵 | 让喧嚣与沉闷被关在音乐之外,2025-10-24,866446,1715,17,5,29,华语 流行 nan
8590,心碎与温柔｜华语情歌的时光走廊,2025-09-26,8608,143,15,1,26,流行 华语 治愈
8591,世界上有个特别幸福的人 他正在读我这句话,2025-10-19,12481,247,14,14,41,华语 流行 伤感
8592,灵魂栖息地│人生天地间 忽如远行客,2025-10-21,4925,106,3,4,21,华语 放松 治愈
8593,张震岳「跟着感觉走」巡回演唱会预热歌单,2025-10-24,43733,175,6,1,35,华语 摇滚 流行
8594,湾区升明月2025大湾区电影音乐晚会 歌曲辑,2025-09-28,14980,84,2,1,68,流行 华语 怀旧
8595,送别音乐人屠颖：华语乐坛一盏明灯熄灭,2025-11-01,166444,835,235,91,50,华语 流行 nan
8596,国风新潮大赏 | 歌声岂合世间闻,2019-09-26,12613029,77440,1506,339,137,华语 古风 流行
8597,想开家茶馆，放首民谣给从前,2017-09-15,20142114,160000,2422,841,29,华语 民谣 治愈
8598,100首华语民谣，因为懂得才有共鸣,2018-07-12,61220804,510000,5572,1029,99,华语 流行 民谣
8599,『曲作精选』细数古风圈原创作曲人❶,2018-01-03,30532196,680000,6107,2566,193,华语 古风 学习
8600,「居家古风」如何把生活过成诗,2019-02-26,13559617,220000,2915,778,150,华语 古风 浪漫
8601,国风民谣 |满堂花醉三千客，一剑霜寒十四州,2018-07-25,18762152,270000,3549,1530,112,华语 民谣 古风
8602,华语独立乐团｜将温柔塞满黄昏,2020-02-08,5881067,21372,967,154,102,华语 另类/独立 浪漫
8603,律动R&B/Soul：放轻松就当漫游地球,2025-08-26,47185,170,6,2,65,华语 流行 R&B/Soul
8604,那些爆好听又记不起歌名的歌,2025-08-16,326636,1516,27,11,200,华语 流行 网络歌曲
8605,华语民谣 I 孤独的心诠释诗意和远方,2016-11-20,30596112,250000,7913,837,287,华语 民谣 孤独
8606,侠客行│江湖风起云涌，仗剑策马扬鞭,2020-07-13,1765350,10699,304,22,80,华语 影视原声 古风
8607,纪念于朦胧：告别君子，愿你来生皆是好风景,2025-09-11,724423,8796,937,3966,20,华语 流行 nan
8608,东方美学 | 烟雨江南 纵曲踏歌向山河,2025-09-10,84221,725,15,2,71,流行 华语 古风
8609,小众系｜宝岛台湾的温柔海风,2021-03-12,6433777,29998,1520,153,88,华语 流行 浪漫
8610,[我是人间客，闲来听花落],2024-03-12,49743,574,9,3,109,华语 古风 流行
8611,"『洛天依』华风夏韵,落水天依",2023-06-29,22867,509,5,11,183,ACG 华语 nan
8612,R&B特调:方大同/陶喆/余佳运/……,2025-04-03,355255,2401,51,4,69,R&B/Soul 经典 华语
8613,遇见你｜剩下的话我们慢慢讲,2025-09-10,450935,669,26,7,31,流行 华语 浪漫
8614,『国摇』一百支乐队一百种精神信仰,2018-04-10,27939500,320000,4598,2355,385,华语 摇滚 nan
8615,微醺费洛蒙 | 中文R&B 浪漫 酒精 模糊 艺术,2025-09-11,66913,1102,23,5,146,华语 R&B/Soul 浪漫
8616,经典老歌，久听不厌,2017-11-07,324073088,3460000,32711,5183,115,粤语 怀旧 华语
8617,emo神曲合集：如果忧郁是种天赋,2025-06-01,450776,2287,40,7,97,华语 流行 伤感
8618,公路/开车/自驾游/车载音乐,2022-06-28,233690,1550,12,2,132,华语 驾车 兴奋
8619,情歌R&B｜萦绕耳畔的浪漫絮语,2023-03-05,8144518,66745,1181,125,99,华语 流行 R&B/Soul
8620,「海量现象级音综回归」燃燥竞演 热爱无畏,2025-09-04,55123,360,37,19,102,华语 流行 综艺
8621,最怕rapper唱情歌｜旋律说唱｜嘻哈｜,2020-07-11,6713381,44088,572,149,143,华语 说唱 R&B/Soul
8622,嘻哈之巅|20年代华语Rap 忧伤与浪漫,2024-08-19,49676,121,7,1,76,华语 nan nan
8623,华语浪漫 | 聆听一耳就陷进去的浪漫,2025-08-15,11586,42,1,1,90,华语 流行 治愈
8624,愚月FoolMoon巡演--昨晚我梦见这里,2025-09-08,8071,212,45,22,21,华语 R&B/Soul 说唱
8625,流行R&B灵魂律动：感受丝滑旋律的音乐之旅,2025-06-20,456458,1878,37,2,109,华语 R&B/Soul 夜晚
8626,Gai超进化-重庆11.8体育场巡演歌单：GB合体,2025-05-14,64649,714,82,19,42,华语 说唱 兴奋
8627,你撑把小纸伞 叹因缘太婉转,2025-05-25,150060,3232,34,11,47,华语 古风 nan
8628,深夜说唱独白：一个人的情绪出口,2025-07-29,273073,7335,23,2,69,说唱 流行 华语
8629,"B面第一首 ""非主打""备胎的忧伤",2017-08-27,4287797,20184,244,499,93,华语 流行 怀旧
8630,华语经典 | 那些属于我们青春的一首歌曲,2023-01-14,24620316,170000,2482,307,238,华语 90后 流行
8631,盛宇11.22贺龙体育馆演出歌单,2025-06-25,31011,332,57,2,58,华语 说唱 兴奋
8632,【戏腔专题】伶人入画，一生天涯,2015-06-24,34884144,760000,7734,2343,198,古风 华语 古典
8633,华语R&B经典|岁月里的温柔与迷惘,2025-05-25,147674,336,7,2,62,华语 R&B/Soul nan
8634,中文说唱｜马思唯｜法老｜杨和苏｜Ty｜刘聪,2021-11-07,1018454,5836,77,38,170,说唱 华语 流行
8635,【反乌托邦】活着，就是不顺从,2025-05-23,68811,2067,14,10,82,华语 流行 兴奋
8636,华语经典+小众歌曲｜百听不厌,2025-06-01,40150,206,19,3,178,华语 伤感 思念
8637,国摇乐队 |  我梦寐以求，是真爱和自由,2022-02-07,1858765,13204,196,47,107,华语 摇滚 放松
8638,听·GAI周延 | 为你精选GAI周延的必听好歌,2025-08-24,23585,132,2,2,39,华语 流行 说唱
8639,「五人组 五根手指合在一起就是拳贵」,2023-04-04,134969,735,13,8,111,说唱 华语 nan
8640,适合一个人安静听的BE氛围曲,2025-09-02,400132,4885,67,6,124,华语 夜晚 流行
8641,【卢广仲版回归】精选合集歌单 | 更新中,2024-09-20,217403,1761,29,4,47,华语 民谣 经典
8642,删了吧丨爱的卑微不如知难而退,2025-04-07,230171,893,9,7,101,华语 流行 伤感
8643,张杰未LIVE开往1982演唱会歌单台州站,2023-11-01,1286588,14095,2065,233,74,华语 流行 nan
8644,【00后回忆杀】那年经典和你,2022-12-18,376896,1169,23,8,50,华语 流行 怀旧
8645,汪苏泷2025十万伏特2.0台州厦门演唱会歌单,2025-04-15,512625,4992,643,28,176,华语 流行 nan
8646,民谣小酒馆：理想三旬 我记得 安河桥 绿色,2025-07-29,340625,1453,21,1,67,华语 民谣 酒吧
8647,《逆爱》顺恨主题曲与插曲,2025-08-14,52040,602,8,6,101,华语 浪漫 影视原声
8648,中文说唱与R&B之恋：节拍中流淌的情感与思念,2025-07-11,280957,1902,17,2,43,华语 R&B/Soul 流行
8649,中文说唱之法老|寻找hiphop乌托邦的独行侠,2025-02-19,32342,212,1,9,132,华语 说唱 感动
8650,台北記憶｜如果你也喜歡焦安溥的話,2024-04-02,47454,630,5,2,202,华语 nan nan
8651,你的爱里充斥着谎言和欺骗 你总有各种苦衷,2025-07-30,95815,879,13,3,50,华语 流行 nan
8652,台湾宏扬唱片精选：重温经典华语老歌,2025-08-28,41612,313,6,12,50,华语 经典 nan
8653,『中V·聆听篇』精中有细，静中澎湃,2021-12-19,17378,319,3,39,210,华语 流行 散步
8654,情歌｜再给我一次机会 绝对不会再喜欢你,2025-02-07,118098,476,32,1,175,流行 华语 伤感
8655,经典华语丨每一首都值得单曲循环的经典老歌,2025-08-02,350312,1440,23,2,106,华语 流行 怀旧
8656,R＆B｜依加 陶喆 方大同 余佳运 郭顶,2023-05-26,1677385,19187,257,42,166,R&B/Soul 华语 夜晚
8657,郑润泽余佳运沈以诚颜人中队长方大同,2023-07-16,391329,3547,83,15,61,流行 00后 华语
8658,【中文/R&B】浪漫 暧昧 缠绵 小众氛围感,2025-02-15,143012,1707,46,3,93,流行 华语 R&B/Soul
8659,「薛之谦」我喜欢你 从一而终,2017-12-16,309958,1930,37,4,185,华语 浪漫 感动
8660,李玖哲精选：从来没爱错的温柔歌者,2025-08-26,74830,345,12,9,57,华语 流行 R&B/Soul
8661,秋日暖心站｜好事总会发生在下个转弯,2025-09-11,30730,445,77,13,23,华语 治愈 放松
8662,神级宿命感丨古风里的魂归情缘,2025-05-21,218617,1383,22,9,57,华语 流行 古风
8663,纯女声华语｜我永不凋零的少女梦境,2018-03-17,22348106,220000,1848,1023,244,翻唱 华语 流行
8664,水墨江南 | 云水缥缈 笛声悠扬 诗情画意,2025-04-27,362249,3303,83,7,67,古风 华语 流行
8665,地铁随身听 | 心跳加速的瞬间,2025-06-25,5286398,19854,240,248,135,流行 华语 欧美
8666,神仙打架时期佳作｜一人一首成名曲,2025-07-01,1620741,5004,36,12,116,流行 华语 怀旧
8667,张韶涵「觅光」 2025巡回演唱会歌单精选,2023-03-18,1551533,18283,1504,156,42,华语 流行 KTV
8668,【神外糙汉子】糙哥牛马上班路歌单,2025-08-05,11914,619,5,16,250,华语 欧美 流行
8669,如果再遇到爱的人 记得请拉着她的手,2019-06-28,423791,1513,21,7,139,华语 说唱 流行
8670,这里是冠军《SHarK 》为你精选SHarK的口才,2025-08-07,119749,379,4,6,38,华语 说唱 流行
8671,90与00后的交叉路口‖00后中学回忆杀,2023-08-12,40696,183,7,3,125,华语 怀旧 00后
8672,生命力歌单｜“去爱，去生活，去受伤”,2025-06-30,488034,1945,36,4,71,华语 放松 治愈
8673,r&b100首，蓝调时刻的律动与暧昧,2025-03-16,615701,4108,85,11,85,华语 R&B/Soul nan
8674,直火帮【巴士的婚礼】2025下半巡歌单,2025-04-28,36311,427,57,15,33,说唱 华语 nan
8675,华语R&B｜耳熟能详的华语经典RNB旋律控,2025-06-27,745431,1536,23,2,57,流行 R&B/Soul 华语
8676,礼义之邦｜华夏文明五千年，薪火相传永不灭,2020-12-19,706102,7448,282,35,62,古风 民族 华语
8677,【你也喜欢·黄子弘凡】合集歌单 | 更新中,2024-06-10,265917,5173,47,17,66,流行 华语 伤感
8678,古风DJ丨天下谁人不识君,2024-09-16,3882513,38762,699,187,101,古风 驾车 华语
8679,经典老歌｜我们00后的青春,2025-05-30,132584,453,5,9,134,华语 怀旧 经典
8680,绝美戏腔，一曲惊鸿，千里醉人间,2020-09-30,1039493,7472,111,24,85,古风 00后 华语
8681,复古金曲 回到千禧的浪漫时刻,2025-08-27,57311,116,6,2,22,华语 酒吧 经典
8682,拯救歌荒！我心中的华语好歌TOP100,2025-02-11,2635519,5677,102,53,96,华语 流行 驾车
8683,魏如萱『怪奇的珍珠』2025巡演,2023-11-23,66026,788,152,5,24,华语 世界音乐 另类/独立
8684,为你精选口才 | 法老/马思唯/艾志恒Asen,2025-08-02,247084,337,7,5,59,华语 说唱 流行
8685,“一 起 逃 跑 吧” 小众华语浪漫集,2023-06-08,679277,6000,140,33,60,华语 另类/独立 清新
8686,台剧OST | 那些年我们一起追过的偶像剧,2025-04-06,1008805,8943,198,11,100,华语 流行 影视原声
8687,深夜emo伤感丨一个人一首歌不同的故事,2024-06-04,18858074,17682,148,251,118,华语 流行 伤感
8688,华语｜100首经典老歌精选 90后回忆杀,2025-07-01,369145,999,14,2,110,流行 华语 校园
8689,深夜emo歌单 | 我真的爱你 句句不轻易,2022-01-03,21941660,2919,642,22,133,华语 流行 伤感
8690,都市R&B | 浪漫 松弛 律动的耳机旋律,2025-07-26,184475,1622,67,13,72,华语 流行 R&B/Soul
8691,中文说唱之GAI|从街头到舞台的国风江湖大侠,2025-02-19,31662,217,1,4,108,华语 说唱 治愈
8692,郭静「天亮之前」巡回演唱会歌单,2025-06-22,30461,434,55,5,38,华语 流行 治愈
8693,孙燕姿「就在日落以后」演唱会完整歌单2025,2025-04-05,867802,9558,1225,164,58,华语 流行 治愈
8694,【如果你也喜欢·郑润泽】合集歌单 ,2023-09-28,1651416,22585,266,104,47,华语 流行 伤感
8695,把孤独谱写成无人知晓的十四行诗,2025-06-19,518371,2693,30,22,68,华语 流行 伤感
8696,国内R&B 脑海中的旋律转个不停,2023-10-17,41272,365,7,8,162,R&B/Soul 华语 蓝调
8697,【如果你也喜欢·加木】合集歌单（继更）,2023-11-19,970261,9201,112,36,51,说唱 华语 流行
8698,有些歌，前奏响起就热泪盈眶了,2024-03-21,204370,492,5,3,45,华语 经典 nan
8699,【中文说唱】顶级优质旋律控,2021-01-27,1918606,12499,1231,27,257,说唱 流行 华语
8700,多巴胺·高能量快乐歌！听了开心一整天,2025-08-07,688147,3448,81,5,65,华语 快乐 放松
8701,时间不能治愈所有伤口,2022-06-28,227256,1872,236,18,192,流行 怀旧 华语
8702,十个勤天-后陡门58（禾伙人）,2024-04-28,211775,2143,23,9,214,华语 流行 综艺
8703,诠释摇滚 | 放肆宣泄这该死的青春,2022-11-24,680445,2468,47,18,102,华语 摇滚 兴奋
8704,中文说唱 各种流派这里都有,2025-07-30,93955,1307,3,2,51,华语 说唱 nan
8705,那些一遍又一遍放不腻的歌（持续更新）,2025-02-08,8616339,18157,289,970,168,华语 流行 网络歌曲
8706,汪苏泷2025十万伏特2.0演唱会（持续更新）,2025-02-11,63364,734,74,14,154,华语 流行 nan
8707,那些百听不厌的华语R&B,2023-12-20,446080,1911,40,5,61,华语 R&B/Soul 流行
8708,华语R&B | 百听不厌的耳机常驻R&B,2025-07-11,100828,569,8,2,61,华语 R&B/Soul 流行
8709,她带着土星的耳钉 夹杂着南方的口音,2025-04-17,17567,174,1,2,75,华语 说唱 榜单
8710,甜甜的恋爱要轮到你啦～,2021-02-25,57547,516,7,4,57,说唱 浪漫 华语
8711,最怕rapper唱情歌playlist | 一小时不间断播放！开车 行路 泡澡~干啥都行~~,2025-06-12,109391,387,5,2,20,华语 说唱 浪漫
8712,方大同/陶喆/卢广仲/梁根荣/曹格/郭顶,2024-05-14,118594,1299,28,5,238,R&B/Soul 华语 蓝调
8713,2025李荣浩「黑马」演唱会歌单,2025-01-07,646219,7484,1371,112,44,华语 流行 R&B/Soul
8714,【人生是旷野！自由在风里】持续更新,2025-08-01,296468,2624,12,2,43,流行 旅行 华语
8715,闽南语流行 | 跨越世代的海浪与烟火之声,2019-01-04,5952651,58052,510,263,197,流行 华语 小语种
8716,精选原声 | 那些命运交织的原声曲,2025-06-19,272706,9831,6,1,65,华语 流行 影视原声
8717,黑暗【故事】魑魅魍魉，鬼气弥漫～,2019-06-06,76967,2542,24,10,82,古风 华语 夜晚
8718,没有我在身边有更幸福吗,2021-01-15,17378,48,1,24,77,华语 nan nan
8719,一人一首封神作 | 乐坛经典精选,2025-04-27,939358,3893,33,9,169,华语 流行 经典
8720,没关系 我们不赶时间 我们带着诚意慢慢来,2025-07-28,288639,1779,47,5,111,华语 流行 放松
8721,电量1%也要听！每一首都好听出圈,2025-07-30,178936,920,7,4,101,流行 华语 榜单
8722,小众|台湾乐队的浪漫与失落,2022-04-25,272200,3773,71,22,146,华语 浪漫 nan
8723,华语说唱：撩得你无法自拔,2025-07-29,80842,8929,3,2,168,华语 流行 说唱
8724,伤感旋律|在每个夜里我都梦见你,2023-05-19,309481,802,9,22,102,华语 说唱 伤感
8725,五月天Mayday唱作全集（正序无Live）,2023-10-26,295401,4264,67,31,236,华语 流行 摇滚
8726,深夜emo 天花板丨遗憾没说再见的伤感歌单,2025-07-30,168130,1487,8,5,94,华语 伤感 流行
8727,别急甜甜的恋爱马上就轮到你了,2025-07-29,107767,8521,3,2,141,华语 浪漫 说唱
8728,地铁随身听|心跳加速的瞬间,2025-08-03,382803,1276,16,1,144,华语 流行 地铁
8729,18年华章 | 旋律中的成长印记与情感回响,2024-11-01,11741,74,1,3,216,华语 网络歌曲 nan
8730,「华语经典」百听不厌的华语流行经典,2024-05-18,858247,2141,22,6,118,华语 流行 摇滚
8731,张艺兴「大航海5·闹天宫」演唱会歌单,2025-08-04,12665,162,4,2,78,华语 流行 舞曲
8732,解不开的心结就系成蝴蝶结.,2024-09-20,170069,436,10,3,66,华语 流行 怀旧
8733,摇滚刺客/梅卡德尔/草东/散人/康士坦/醒山,2022-09-16,1828571,28406,542,135,169,华语 摇滚 nan
8734,想回家乡了，还是想她（他）了,2021-10-27,23598,108,5,1,133,华语 孤独 伤感
8735,忧郁lazy|江辰 999 猫头英 万乐体 安息日,2025-01-27,258487,6164,341,79,409,说唱 流行 华语
8736,我的台湾女歌手文艺症,2025-02-03,307220,6028,170,20,78,华语 学习 清新
8737,岁月的感怀 | 回头看 轻舟已过万重山,2023-07-25,4712539,17425,395,184,95,华语 流行 nan
8738,高能量好运歌单｜你的好运已加载完毕,2025-04-16,1265609,3212,56,8,52,华语 流行 快乐
8739,【全】潘玮柏2025狂爱2.0演唱会歌单,2025-04-05,359984,4383,673,61,51,说唱 华语 流行
8740,【薛之谦】陪你流浪至世界尽头,2021-11-30,672830,3553,97,24,121,华语 怀旧 伤感
8741,【古风】清亮古音 虐而不伤,2017-05-07,50108,387,11,1,118,华语 古风 夜晚
8742,听点好的吧 钱都花了【黑胶vip精选】,2025-03-13,1318886,6817,164,44,54,R&B/Soul 华语 流行
8743,『薛之谦』你哭着说情缘已尽 难再续 难再续,2020-09-19,2327718,14254,215,73,126,华语 流行 nan
8744,【中文R&B】适合小酌一杯的浪漫节奏布鲁斯,2025-02-20,122201,2251,51,7,101,华语 R&B/Soul 浪漫
8745,郑润泽 | 纯净 | 悦耳 | 治愈 | 润唇膏必听,2024-06-09,91008,870,17,12,134,华语 流行 清新
8746,谁的手指断 谁是九指半ljz329,2025-09-04,34791,317,6,2,23,流行 说唱 华语
8747,宝藏挖掘机|分享好音乐和金曲,2022-06-14,100561504,340000,16067,4411,145,华语 流行 伤感
8748,《耳膜暴击！天赐的声音顶级Live现场,2025-03-11,334188,806,5,4,91,流行 华语 综艺
8749,【如果你也喜欢·h3R3】合集歌单（继更）,2023-11-26,730189,7725,83,52,60,华语 流行 说唱
8750,伤感emo歌单 | 夜深了来听听吧,2025-07-29,278408,3968,5,2,56,伤感 夜晚 华语
8751,强军战歌｜高能量显化 稳固磁场红歌护体,2025-09-01,7655,79,3,1,80,华语 流行 经典
8752,『公路之歌』火车驶向云外 向山海走去,2023-09-25,368859,1993,25,4,93,华语 摇滚 旅行
8753,热歌生长指南：哪一首陪你向上每一天？,2025-09-02,305315,496,8,2,189,华语 流行 网络歌曲
8754,都说敏感是天赋但我没有强大的心脏,2025-08-17,103469,909,20,1,224,流行 华语 伤感
8755,摩登兄弟刘宇宁 | 孤独旅程里的温暖共鸣,2023-10-11,147687,1099,19,12,172,流行 华语 影视原声
8756,罗曼城主【汪苏泷】的电台,2024-01-19,90454,716,11,1,146,华语 流行 浪漫
8757,永不过时的音乐精选（不断添加）,2025-06-24,387923,838,18,6,204,华语 流行 00后
8758,「姜云升」迄今为止的生命里,2021-04-22,4043280,46609,935,313,260,华语 说唱 浪漫
8759,流行说唱：旋律与节奏的完美融合,2018-10-10,5890396,58794,635,296,73,说唱 华语 nan
8760,华语浪漫R&B｜惬意chill向 心动频率100％,2025-09-12,4001,64,3,3,78,华语 流行 R&B/Soul
8761,王一珩｜温柔与浪漫的汉堡,2024-10-16,60428,688,32,4,33,流行 华语 放松
8762,硬地新鲜发行｜周周收获原创新歌,2022-12-19,132118,430,48,11,156,华语 流行 另类/独立
8763,听潮阁｜地下歌手会闯出属于自己的路！,2024-12-26,51196,1412,11,10,135,华语 流行 nan
8764,你是我深藏在第五季的永生花.,2019-03-09,130026,1106,23,5,180,华语 流行 校园
8765,旋律说唱｜好听不腻的hook,2022-04-27,9132870,68232,847,140,209,华语 流行 说唱
8766,快乐节奏 | 令人愉悦的小清新歌曲,2022-07-07,7308537,27172,512,282,113,华语 放松 快乐
8767,回春丹『大把时间璀璨 』全国演唱会歌单,2022-09-26,21838,261,18,2,24,华语 摇滚 nan
8768,2025✨魏如萱·怪奇的珍珠✨演唱会顺序排列,2025-08-26,46921,712,52,14,34,华语 流行 nan
8769,怀念神仙打架的时代，华语金曲100首00-09,2025-06-30,384748,1099,16,3,43,流行 华语 怀旧
8770,网易云评论最多的前100首歌（已排序）,2024-05-23,9059202,15921,193,169,83,华语 欧美 流行
8771,七夕今夕丨限定华语糖果速递中 :),2025-08-27,239335,685,82,34,40,华语 浪漫 nan
8772,地铁随身听 | 心跳加速的瞬间,2025-08-15,3039,8,1,1,138,华语 地铁 流行
8773,温柔女声|慵懒的风吹过山涧,2025-08-10,43926,285,103,5,70,华语 清新 nan
8774,鲜衣怒马少年游，倚剑逍遥笑红尘,2017-03-11,114898,1356,16,5,150,华语 古风 nan
8775,华语金曲：大明王朝进行曲的现代演绎,2025-01-21,108123,712,7,2,191,华语 电子 流行
8776,小甜歌pick | 心动旋律 做元气可爱小甜妹！,2025-07-14,125813,839,16,2,57,华语 流行 快乐
8777,国语R&B情歌精选：浪漫旋律之旅,2023-10-03,861532,4636,68,33,123,华语 R&B/Soul 蓝调
8778,一代侠客入江湖 从此便是不归路,2024-08-20,405097,2446,29,11,199,华语 古风 nan
8779,摇滚的力量，答案在风中,2024-11-08,1515234,5980,55,20,62,华语 摇滚 nan
8780,【网络热曲】情感如水流 水止情难收,2025-01-23,2639852,5849,36,182,204,流行 华语 网络歌曲
8781,【古】把酒祝东风，且共从容,2019-03-09,351240,5175,46,29,111,华语 nan nan
8782,【五维介质】必听原创良曲 | 安利向,2025-08-25,943,47,2,2,132,ACG 00后 华语
8783,失恋emo歌单「心碎」「痛苦」「难过」,2022-07-20,21322230,6445,278,50,114,华语 流行 伤感
8784,那些好听却记不起名字的歌【每日推荐】,2024-08-20,1110485,2315,12,37,190,华语 流行 网络歌曲
8785,超绝古风感音乐，戏腔超爱,2024-10-01,48601,1307,6,22,57,华语 古风 学习
8786,旋律emo说唱 | 缓缓飘落的枫叶像思念,2023-04-25,87161,317,131,2,159,华语 流行 说唱
8787,摇滚青年：还是要年轻 还是要热泪盈眶,2024-09-04,144692,849,15,4,111,华语 摇滚 夜晚
8788,如果忧郁是种天赋,2025-07-28,71251,470,2,4,63,伤感 华语 流行
8789,失恋emo伤感 | 不能想象没有了你的未来,2022-07-31,44495408,8386,169,255,172,华语 流行 伤感
