s,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
12433,擦去你眼角的泪,2024-03-01,39772,168,1,2,243,00后 流行 伤感
12434,淋得我粉碎 爱也抵不住,2018-07-09,126548,1050,24,2,41,思念 孤独 伤感
12435,褪黑素 离开我的依赖 两难 寂寞寂寞不好,2025-08-22,82721,234,3,3,37,华语 夜晚 伤感
12436,KTV必点歌曲：深情伤感老歌，每首都有回忆,2024-05-22,11975278,4441,38,35,74,华语 伤感 KTV
12437,心碎专场 | 虐心歌曲和伤感歌曲合集,2024-06-12,31715416,10141,84,1273,153,华语 伤感 nan
12438,还是想依偎在你的怀里去看人间,2022-04-17,33788,88,13,3,198,伤感 华语 流行
12439,故事入酒，回忆里难噎。,2024-07-16,458697,3214,46,14,128,民谣 怀旧 伤感
12440,就像永远不会放晴的阴雨天,2025-08-22,10078,176,12,3,126,说唱 伤感 流行
12441,如果可以我想和你回到那天相遇,2025-08-11,261893,1102,12,7,30,流行 夜晚 伤感
12442,最近过的好吗 没有我的生活如你愿了吗,2025-08-07,118665,1154,30,6,242,流行 伤感 nan
12443,华语经典 | 那些旋律 是否触动心弦,2025-05-09,1215973,2807,61,11,87,华语 怀旧 伤感
12444,如果世界有两个我就好了,2022-12-04,53926,96,20,2,95,说唱 伤感 快乐
12445,我想说我今天也特别特别想你,2020-08-12,123319,809,45,21,195,流行 孤独 伤感
12446,片刻的幸福 要用千倍痛苦来偿还,2025-06-11,44619,541,1,3,89,夜晚 伤感 nan
12447,「韩语宿命感」听前奏就沦陷的韩语歌曲,2024-09-11,32376,115,2,4,72,韩语 伤感 流行
12448,过好当下 开心重要.,2025-07-15,141127,656,11,1,170,孤独 安静 伤感
12449,悲伤抒情床头音乐集 感受夜晚 听后放松.,2024-12-03,1823222,5953,55,200,258,流行 伤感 夜晚
12450,情歌摇滚/我会想起关于她的一切,2022-05-16,670204,4625,289,14,133,华语 摇滚 伤感
12451,痛苦是幸福的赝品 相似却永远无法代替,2025-07-17,8545,59,2,2,73,伤感 nan nan
12452,伤感音乐｜爱有很多种方式 放手是最后一种,2024-07-02,105124,263,11,3,114,华语 流行 伤感
12453,在失去的人里 我最怀念的是当初的自己,2021-12-08,89664,302,6,2,189,驾车 伤感 nan
12454,夜晚伤感emo：“沉浸在孤独的旋律中,2025-06-05,150370,344,3,1,49,华语 夜晚 伤感
12455,已模糊的镜头 拉不回 的从前,2025-06-06,281390,795,12,1,107,夜晚 伤感 孤独
12456,沧桑大叔音：李宗盛 伍佰 周传雄 任贤齐,2024-08-19,539371,1407,15,2,123,华语 驾车 伤感
12457,阴天持续供应：这些歌从不肯放晴,2025-09-02,67506,1914,8,2,24,伤感 流行 说唱
12458,拥抱直至世界毁灭,2024-01-28,2341835,32937,624,498,145,治愈 伤感 孤独
12459,孤独启示录｜最伤人的，是温柔,2025-06-24,236018,1814,11,10,328,伤感 流行 网络歌曲
12460,亡妻回忆录 l BGM一响亡妻登场,2024-08-13,4388832,23840,130,675,122,流行 伤感 思念
12461,当拥有细腻的心 感受到更多是幸福还是悲伤.,2024-05-30,14463,21,2,1,203,伤感 流行 nan
12462,伤心的时候可以听情歌，这种感觉真的很不错,2021-12-19,218114,644,15,2,156,华语 伤感 思念
12463,每当音乐响起 你又会想起谁,2025-08-03,120257,538,9,5,33,流行 夜晚 伤感
12464,想让你身边只有我是不是太为难你了,2025-07-27,102558,386,9,1,101,流行 夜晚 伤感
12465,小说必备/救赎/双男主/宿命/酸涩,2025-07-12,61222,806,11,1,108,电子 伤感 孤独
